Páratartalom [%]	D1	D2	D3	D4	D5	D6	D7	D8	L1	L2	L3	L4	L5	L6	L7	L8	Méretszám	Idő különbség [perc]	Megerősített?
65	0	0	0	0	4379	1569	0	0	4379	1569	0	0	0	0	0	0	5948	64,4	1
52	1	2	6	0	0	0	1337	0	1337	6	2	1	0	0	0	0	1346	77,6	1
66	0	0	0	0	178	1533	1740	0	1740	1533	178	0	0	0	0	0	3451	30,9	1
54	3	13	71	128	220	197	519	698	698	519	220	197	128	71	13	3	1849	63	0
66	1625	28	56	24	17	7	9	4	1625	56	28	24	17	9	7	4	1770	894,3	1
54	131	739	1166	1299	605	219	18	6	1299	1166	739	605	219	131	18	6	4183	176,8	0
54	0	107	1570	1446	310	38	5	5	1570	1446	310	107	38	5	5	0	3481	137,1	0
53	3	4	5	16	1972	143	1	3	1972	143	16	5	4	3	3	1	2147	606	1
65	18	18	445	566	679	509	248	36	679	566	509	445	248	36	18	18	2519	9,1	0
65	3	8	19	606	0	0	0	1	606	19	8	3	1	0	0	0	637	294,5	0
